name,ind,movement,genre,date,detail,picture,,
L'Exécution de Maximilien,Édouard Manet,Réalisme,,1868,,édouard-manet---l'exécution-de-maximilien,link,https://www.google.fr/search?q=L'Exécution+de+Maximilien+Édouard+Manet
The Fox Hunt,Winslow Homer,Réalisme,Peinture animalière,1893,,winslow-homer---the-fox-hunt,link,https://www.google.fr/search?q=The+Fox+Hunt+Winslow+Homer
The Thankful Poor,Henry Ossawa Tanner,Réalisme,,1894,,henry-ossawa-tanner---the-thankful-poor,link,https://www.google.fr/search?q=The+Thankful+Poor+Henry+Ossawa+Tanner
The Gulf Stream,Winslow Homer,Réalisme,Marine,1899,,winslow-homer---the-gulf-stream,link,https://www.google.fr/search?q=The+Gulf+Stream+Winslow+Homer
Stag at Sharkey's,George Wesley Bellows,Réalisme,,1909,,,link,https://www.google.fr/search?q=Stag+at+Sharkey's+George+Wesley+Bellows
Railroad Sunset,Edward Hopper,Réalisme,Pastoral,1929,,edward-hopper---railroad-sunset,link,https://www.google.fr/search?q=Railroad+Sunset+Edward+Hopper
Early Sunday Morning,Edward Hopper,Réalisme,,1930,,edward-hopper---early-sunday-morning,link,https://www.google.fr/search?q=Early+Sunday+Morning+Edward+Hopper
Nighthawks,Edward Hopper,Réalisme,,1942,,edward-hopper---nighthawks,link,https://www.google.fr/search?q=Nighthawks+Edward+Hopper
Execution,Yue Minjun,Réalisme,,1995,,yue-minjun---execution,link,https://www.google.fr/search?q=Execution+Yue+Minjun
Arnolfini Portrait,Jan van Eyck,Renaissance allemande,Portrait,1434,,jan-van-eyck---arnolfini-portrait,link,https://www.google.fr/search?q=Arnolfini+Portrait+Jan+van+Eyck
La Vierge du chancelier Rolin,Jan van Eyck,Renaissance allemande,Religieux,1435,,jan-van-eyck---la-vierge-du-chancelier-rolin,link,https://www.google.fr/search?q=La+Vierge+du+chancelier+Rolin+Jan+van+Eyck
La Mélancolie,Albrecht Dürer,Renaissance allemande,Religieux,1514,,albrecht-dürer---la-mélancolie,link,https://www.google.fr/search?q=La+Mélancolie+Albrecht+Dürer
Le corps du Christ mort au tombeau,Hans Holbein the Younger,Renaissance allemande,Religieux,1532,,hans-holbein-the-younger---le-corps-du-christ-mort-au-tombeau,link,https://www.google.fr/search?q=Le+corps+du+Christ+mort+au+tombeau+Hans+Holbein+the+Younger
La Crusifixion,Lucas Cranach the Elder,Renaissance allemande,Religieux,1532,,lucas-cranach-the-elder---la-crusifixion,link,https://www.google.fr/search?q=La+Crusifixion+Lucas+Cranach+the+Elder
Les ambassadeurs,Hans Holbein the Younger,Renaissance allemande,Portrait,1533,,hans-holbein-the-younger---les-ambassadeurs,link,https://www.google.fr/search?q=Les+ambassadeurs+Hans+Holbein+the+Younger
La tour de Babel,Pieter Bruegel the Elder,Renaissance allemande,,1563,,pieter-bruegel-the-elder---la-tour-de-babel,link,https://www.google.fr/search?q=Renaissance+allemande+Pieter+Bruegel+the+Elder
Les Chasseurs dans la neige,Pieter Bruegel the Elder,Renaissance allemande,,1565,,pieter-bruegel-the-elder---les-chasseurs-dans-la-neige,link,https://www.google.fr/search?q=Les+Chasseurs+dans+la+neige+Pieter+Bruegel+the+Elder
Dome of the Florence Cathedral,Filippo Brunelleschi,Renaissance italienne,,1436,,filippo-brunelleschi---dome-of-the-florence-cathedral,link,https://www.google.fr/search?q=Dome+of+the+Florence+Cathedral+Filippo+Brunelleschi
Mona Lisa,Leonard de Vinci,Renaissance italienne,Portrait,1503,,leonard-de-vinci---mona-lisa,link,https://www.google.fr/search?q=Mona+Lisa+Leonard+de+Vinci
Fiesta Campreste,Titien,Renaissance italienne,Paysage,1509,,titien---fiesta-campreste,link,https://www.google.fr/search?q=Fiesta+Campreste+Titien
Villa Barbaro,Andrea Palladio,Renaissance italienne,,1560,,andrea-palladio---villa-barbaro,link,https://www.google.fr/search?q=Villa+Barbaro+Andrea+Palladio
L'Enseigne de Gersaint,Jean-Antoine Watteau,Rococo,Peinture historique,1720,,,link,https://www.google.fr/search?q=L'Enseigne+de+Gersaint+Jean-Antoine+Watteau
verre d'eau et carafe,Jean-Siméon Chardin,Rococo,,1720,,jean-siméon-chardin---verre-d'eau-et-carafe,link,https://www.google.fr/search?q=verre+d'eau+et+carafe+Jean-Siméon+Chardin
La raie,Jean-Siméon Chardin,Rococo,,1728,,jean-siméon-chardin---la-raie,link,https://www.google.fr/search?q=La+raie+Jean-Siméon+Chardin
Tres de Mayo,Goya,Romantisme,History painting,1814,,goya---tres-de-mayo,link,https://www.google.fr/search?q=Tres+de+Mayo+Goya
La Leçon d'anatomie du docteur Tulp,Rembrandt Harmensz. van Rijn,siècle d'or néerlandais,,1632,,rembrandt-harmensz.-van-rijn---la-leçon-d'anatomie-du-docteur-tulp,link,https://www.google.fr/search?q=La+Leçon+d'anatomie+du+docteur+Tulp+Rembrandt+Harmensz.+van+Rijn
La Ronde de nuit,Rembrandt Harmensz. van Rijn,siècle d'or néerlandais,,1632,,rembrandt-harmensz.-van-rijn---la-ronde-de-nuit,link,https://www.google.fr/search?q=La+Ronde+de+nuit+Rembrandt+Harmensz.+van+Rijn
La laitière,Johannes Vermeer,siècle d'or néerlandais,,1658,,johannes-vermeer---la-laitière,link,https://www.google.fr/search?q=La+laitière+Johannes+Vermeer
Vue de Delft,Johannes Vermeer,siècle d'or néerlandais,,1661,,johannes-vermeer---vue-de-delft,link,https://www.google.fr/search?q=Vue+de+Delft+Johannes+Vermeer
Jeune fille à la perle,Johannes Vermeer,siècle d'or néerlandais,,1665,,johannes-vermeer---jeune-fille-à-la-perle,link,https://www.google.fr/search?q=Jeune+fille+à+la+perle+Johannes+Vermeer
Moulin près de Wijk bij Duurstede,Jacob van Ruisdael,siècle d'or néerlandais,,1670,,jacob-van-ruisdael---moulin-près-de-wijk-bij-duurstede,link,https://www.google.fr/search?q=Moulin+près+de+Wijk+bij+Duurstede+Jacob+van+Ruisdael
MetLife Building,John Lautner,Style International,,1963,,john-lautner---metlife-building,link,https://www.google.fr/search?q=MetLife+Building+John+Lautner
La trahison des images,René Magritte,Surréalisme,,1928,,rené-magritte---la-trahison-des-images,link,https://www.google.fr/search?q=La+trahison+des+images+René+Magritte
Le Christ Jaune,Paul Gauguin,Symbolisme,,1889,,paul-gauguin---le-christ-jaune,link,https://www.google.fr/search?q=Le+Christ+Jaune+Paul+Gauguin
Dépouille,Jean Fautrier,Tachisme,,1945,,jean-fautrier---dépouille,link,https://www.google.fr/search?q=Dépouille+Jean+Fautrier
Untitled,Jean Fautrier,Tachisme,,1947,,jean-fautrier---untitled,link,https://www.google.fr/search?q=Untitled+Jean+Fautrier
Composition grise et rouge,Serge Poliakoff,Tachisme,,1964,,serge-poliakoff---composition-grise-et-rouge,link,https://www.google.fr/search?q=Composition+grise+et+rouge+Serge+Poliakoff
La Richesse des Nations,Adam Smith,,,1776,,,link,https://www.google.fr/search?q=La+Richesse+des+Nations+Adam+Smith
Essai sur le principe de population,Thomas Malthus,,,1803,,,link,https://www.google.fr/search?q=Essai+sur+le+principe+de+population+Thomas+Malthus
Des sophismes politiques,Jeremy Bentham,,,1816,,,link,https://www.google.fr/search?q=Des+sophismes+politiques+Jeremy+Bentham
Des principes de l'économie politique et de l'impôt,David Ricardo,,,1817,,,link,https://www.google.fr/search?q=Des+principes+de+l'économie+politique+et+de+l'impôt+David+Ricardo
Altes Museum (Berlin),Karl Friedrich Schinkel,,,1830,,karl-friedrich-schinkel---altes-museum-(berlin),link,https://www.google.fr/search?q=Altes+Museum+(Berlin)+Karl+Friedrich+Schinkel
L'Émeute,Honoré Daumier,,,1848,,honoré-daumier---l'émeute,link,https://www.google.fr/search?q=L'Émeute+Honoré+Daumier
The Crystal Palace,Joseph Paxton,,,1851,,joseph-paxton---the-crystal-palace,link,https://www.google.fr/search?q=The+Crystal+Palace+Joseph+Paxton
Prison circulaire d’Autun,André Berthier (Bentham),,,1855,,andré-berthier-(bentham)---prison-circulaire-d’autun,link,https://www.google.fr/search?q=Prison+circulaire+d’Autun+André+Berthier+(Bentham)
Système national d'économie politique,Friedrich List,,,1857,,,link,https://www.google.fr/search?q=Système+national+d'économie+politique+Friedrich+List
Le Capital,Karl Marx,,,1867,,,link,https://www.google.fr/search?q=Le+Capital+Karl+Marx
Nocturne: Blue and Gold – Old Battersea Bridge,James Abbott McNeill Whistler,,,1872,,james-abbott-mcneill-whistler---nocturne-blue-and-gold-–-old-battersea-bridge,link,https://www.google.fr/search?q=Nocturne:+Blue+and+Gold+–+Old+Battersea+Bridge+James+Abbott+McNeill+Whistler
Familistère de Guise,Jean-Baptiste André Godin,,,1883,,jean-baptiste-andré-godin---familistère-de-guise,link,https://www.google.fr/search?q=Familistère+de+Guise+Jean-Baptiste+André+Godin
Tour Eiffel,Gustave Eiffel,,,1889,,gustave-eiffel---tour-eiffel,link,https://www.google.fr/search?q=Tour+Eiffel+Gustave+Eiffel
Vue de Londres,Claude Monet,,,1901,,claude-monet---vue-de-londres,link,https://www.google.fr/search?q=Vue+de+Londres+Claude+Monet
Autoportrait,Pablo Picasso,,,1901,,pablo-picasso---autoportrait,link,https://www.google.fr/search?q=Autoportrait+Pablo+Picasso
Woman in a Green Jacket,August Macke,,,1913,,august-macke---woman-in-a-green-jacket,link,https://www.google.fr/search?q=Woman+in+a+Green+Jacket+August+Macke
Fagus Factory,Walter Gropius,,,1913,,walter-gropius---fagus-factory,link,https://www.google.fr/search?q=Fagus+Factory+Walter+Gropius
Tribute Tower - Chicago,Raymond Hood,,,1925,,raymond-hood---tribute-tower---chicago,link,https://www.google.fr/search?q=Tribute+Tower+-+Chicago+Raymond+Hood
Villa Savoye,Le Corbusier,,,1931,,le-corbusier---villa-savoye,link,https://www.google.fr/search?q=Villa+Savoye+Le+Corbusier
Déjeuner sur l'herbe,Pablo Picasso,,,1932,,pablo-picasso---déjeuner-sur-l'herbe,link,https://www.google.fr/search?q=Déjeuner+sur+l'herbe+Pablo+Picasso
"Théorie générale de l'emploi, de l'intérêt et de la monnaie",John Maynard Keynes,,,1936,,,link,"https://www.google.fr/search?q=Théorie+générale+de+l'emploi,+de+l'intérêt+et+de+la+monnaie+John+Maynard+Keynes"
Guernica,Pablo Picasso,,,1937,,pablo-picasso---guernica,link,https://www.google.fr/search?q=Guernica+Pablo+Picasso
Villa Cavrois,Robert Mallet-Stevens,,,1937,,robert-mallet-stevens---villa-cavrois,link,https://www.google.fr/search?q=Villa+Cavrois+Robert+Mallet-Stevens
Ice Cream Stand,William Henry Johnson,,,1939,,william-henry-johnson---ice-cream-stand,link,https://www.google.fr/search?q=Ice+Cream+Stand+William+Henry+Johnson
